gene_name,Dsec-Female-JP,Dsim-Female-JP,Dsec-Female-AS,Dsec-Male-JP,Dsim-Male-JP,Dmel-Female-AS,Dmel-Male-AS,Dsec-Male-AS
Ir67a,40.0,1.0,26.0,12.0,17.0,1.0,1.0,14.0
Ir68a,56.0,74.0,49.0,52.0,65.0,73.0,75.0,41.0
Ir75a,138.0,151.0,136.0,142.0,149.0,149.0,148.0,136.0
Ir75c,63.0,62.0,61.0,59.0,50.0,99.0,96.0,71.0
Ir85a,64.0,19.0,58.0,50.0,1.0,36.0,41.0,61.0
Ir51b,58.0,71.0,71.0,54.0,53.0,84.0,86.0,67.0
Ir54a,32.0,40.0,45.0,39.0,37.0,46.0,40.0,51.0
Ir56a,50.0,30.0,66.0,56.0,41.0,55.0,52.0,65.0
Ir76b,159.0,152.0,156.0,159.0,152.0,153.0,155.0,159.0
Ir21a,94.0,96.0,91.0,96.0,84.0,92.0,93.0,93.0
Ir75d,142.0,140.0,146.0,149.0,142.0,147.0,153.0,149.0
Ir64a,139.0,137.0,142.0,139.0,140.0,125.0,128.0,141.0
Ir60a,72.0,88.0,70.0,72.0,89.0,85.0,85.0,68.0
Ir60d,24.0,66.0,19.0,14.0,57.0,28.0,25.0,24.0
Ir60e,66.0,1.0,56.0,55.0,25.0,22.0,18.0,45.0
Ir92a,107.0,104.0,107.0,115.0,106.0,94.0,95.0,112.0
Ir76a,122.0,130.0,125.0,120.0,131.0,119.0,123.0,127.0
Ir25a,153.0,138.0,153.0,153.0,139.0,150.0,149.0,154.0
Ir7c,1.0,25.0,32.0,19.0,19.0,45.0,45.0,18.0
Ir7g,57.0,20.0,17.0,70.0,16.0,41.0,32.0,72.0
Ir84a,118.0,90.0,116.0,123.0,87.0,102.0,104.0,125.0
Ir41a,88.0,126.0,90.0,88.0,127.0,107.0,105.0,89.0
