gene_name,Dsec-Female-JP,Dsim-Female-JP,Dsec-Female-AS,Dsec-Male-JP,Dsim-Male-JP,Dmel-Female-AS,Dmel-Male-AS,Dsec-Male-AS
Obp69a,169.0,164.0,170.0,170.0,164.0,171.0,171.0,169.0
Obp73a,89.0,69.0,84.0,87.0,51.0,68.0,70.0,88.0
Obp85a,31.0,53.0,80.0,46.0,36.0,35.0,44.0,55.0
Obp44a,164.0,162.0,160.0,164.0,163.0,160.0,158.0,160.0
Obp46a,49.0,1.0,38.0,24.0,1.0,30.0,1.0,23.0
Obp47b,95.0,103.0,96.0,95.0,101.0,71.0,68.0,96.0
Obp49a,127.0,122.0,139.0,125.0,122.0,145.0,140.0,140.0
Obp50b,25.0,27.0,28.0,73.0,77.0,16.0,16.0,1.0
Obp50a,124.0,82.0,135.0,122.0,76.0,65.0,55.0,134.0
Obp50c,1.0,38.0,1.0,77.0,90.0,1.0,1.0,25.0
Obp50e,47.0,65.0,36.0,42.0,68.0,69.0,69.0,57.0
Obp51a,1.0,1.0,64.0,1.0,1.0,1.0,39.0,34.0
Obp56a,102.0,145.0,106.0,105.0,144.0,120.0,118.0,111.0
Obp56b,54.0,75.0,59.0,60.0,85.0,1.0,38.0,70.0
Obp56g,110.0,95.0,126.0,134.0,120.0,113.0,112.0,142.0
Obp56h,78.0,149.0,72.0,71.0,150.0,38.0,27.0,83.0
Obp56i,38.0,34.0,37.0,40.0,86.0,1.0,1.0,30.0
Obp56c,41.0,17.0,55.0,68.0,14.0,83.0,92.0,75.0
Obp57a,119.0,87.0,110.0,121.0,15.0,155.0,157.0,118.0
Obp57b,165.0,158.0,165.0,165.0,159.0,163.0,164.0,165.0
Obp57c,170.0,166.0,169.0,169.0,167.0,169.0,170.0,170.0
Obp57e,79.0,93.0,88.0,83.0,93.0,101.0,107.0,90.0
Obp57d,81.0,1.0,76.0,74.0,1.0,1.0,1.0,80.0
Obp22a,1.0,1.0,1.0,30.0,1.0,1.0,43.0,1.0
Obp28a,175.0,171.0,175.0,174.0,171.0,173.0,172.0,174.0
Obp56e,80.0,157.0,79.0,78.0,157.0,126.0,121.0,79.0
Obp56f,1.0,89.0,40.0,92.0,114.0,40.0,42.0,62.0
Obp56d,173.0,167.0,174.0,173.0,168.0,167.0,167.0,173.0
Obp8a,104.0,84.0,100.0,98.0,81.0,98.0,99.0,97.0
Obp93a,1.0,67.0,42.0,58.0,60.0,58.0,63.0,31.0
Obp99d,91.0,132.0,95.0,89.0,137.0,144.0,145.0,99.0
Obp99c,147.0,161.0,123.0,143.0,160.0,161.0,161.0,117.0
Obp99b,163.0,159.0,127.0,156.0,158.0,112.0,101.0,115.0
Obp83a,171.0,169.0,171.0,171.0,169.0,172.0,173.0,171.0
Obp83cd,98.0,1.0,94.0,99.0,1.0,93.0,87.0,94.0
Obp83g,99.0,112.0,105.0,106.0,107.0,116.0,116.0,108.0
Obp83ef,135.0,129.0,122.0,137.0,133.0,103.0,103.0,128.0
Obp83b,174.0,170.0,173.0,175.0,170.0,174.0,174.0,175.0
Obp84a,168.0,160.0,168.0,168.0,161.0,168.0,168.0,168.0
Obp19b,152.0,1.0,161.0,141.0,1.0,157.0,150.0,146.0
Obp19c,158.0,147.0,163.0,147.0,132.0,132.0,126.0,153.0
Obp19a,172.0,168.0,172.0,172.0,165.0,170.0,169.0,172.0
Obp19d,176.0,172.0,176.0,176.0,172.0,175.0,175.0,176.0
Obp58d,106.0,85.0,101.0,103.0,70.0,90.0,90.0,98.0
Obp58b,148.0,143.0,148.0,154.0,146.0,128.0,132.0,150.0
Obp58c,137.0,144.0,128.0,129.0,136.0,70.0,77.0,119.0
Obp59a,167.0,165.0,167.0,167.0,166.0,165.0,165.0,167.0
Obp99a,1.0,111.0,1.0,1.0,134.0,108.0,109.0,1.0
